09/12/2024 06:07:25 PM logger_rmtheis___tess-two INFO <<<<<<<<<<<<<<<<<< Logger setup anew <<<<<<<<<<<<<<<<<<< (utils.py:39) (rmtheis___tess-two)
09/12/2024 06:07:25 PM logger_rmtheis___tess-two INFO Analyzing repos/repos_400_c_round_two/rmtheis___tess-two (install_repos.py:285) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.concurrent.ThreadFactoryImpl$ManagedThreadRunnable.run(ThreadFactoryImpl.java:55) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/java.lang.Thread.run(Thread.java:840) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG Caused by: java.lang.ExceptionInInitializerError: Exception org.codehaus.groovy.GroovyBugError [in thread "Daemon worker"] (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.codehaus.groovy.vmplugin.v7.Java7.<clinit>(Java7.java:45) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:77) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/jdk.internal.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/java.lang.reflect.Constructor.newInstanceWithCaller(Constructor.java:500) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/java.lang.reflect.ReflectAccess.newInstance(ReflectAccess.java:128) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/jdk.internal.reflect.ReflectionFactory.newInstance(ReflectionFactory.java:347) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/java.lang.Class.newInstance(Class.java:645) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.codehaus.groovy.vmplugin.VMPluginFactory.createPlugin(VMPluginFactory.java:57) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.codehaus.groovy.vmplugin.VMPluginFactory.<clinit>(VMPluginFactory.java:39) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG ... 125 more (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG  (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG FAILURE: Build failed with an exception. (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG  (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG * What went wrong: (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG Could not create an instance of type org.gradle.initialization.DefaultSettings_Decorated. (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG > Could not initialize class org.codehaus.groovy.reflection.ReflectionCache (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG  (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG * Try: (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG Run with --stacktrace option to get the stack trace. Run with --info or --debug option to get more log output. Run with --scan to get full insights. (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG  (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG * Get more help at https://help.gradle.org (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG  (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG BUILD FAILED in 2s (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two INFO Running command: rm -rf .gradle/ (install_repos.py:20) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two INFO Logging output to: logs/repos/repos_400_c_round_two_install_logs_with_make_cmake_gradlew_meson_scons_bazel_2024-09-12_17-35-05/rmtheis___tess-two_build.log (install_repos.py:21) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two INFO Running command: rm -rf build/ (install_repos.py:20) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two INFO Logging output to: logs/repos/repos_400_c_round_two_install_logs_with_make_cmake_gradlew_meson_scons_bazel_2024-09-12_17-35-05/rmtheis___tess-two_build.log (install_repos.py:21) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two INFO Running Gradle build (install_repos.py:120) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two INFO Running command: chmod +x gradlew && ./gradlew build (install_repos.py:20) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two INFO Logging output to: logs/repos/repos_400_c_round_two_install_logs_with_make_cmake_gradlew_meson_scons_bazel_2024-09-12_17-35-05/rmtheis___tess-two_build.log (install_repos.py:21) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two DEBUG  (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two DEBUG FAILURE: Build failed with an exception. (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two DEBUG  (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two DEBUG * What went wrong: (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two DEBUG Could not create an instance of type org.gradle.initialization.DefaultSettings_Decorated. (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two DEBUG > Could not initialize class org.codehaus.groovy.runtime.InvokerHelper (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two DEBUG  (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two DEBUG * Try: (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two DEBUG Run with --stacktrace option to get the stack trace. Run with --info or --debug option to get more log output. Run with --scan to get full insights. (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two DEBUG  (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two DEBUG * Get more help at https://help.gradle.org (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two DEBUG  (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two DEBUG BUILD FAILED in 0s (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:29 PM logger_rmtheis___tess-two ERROR Error: Build failed for rmtheis___tess-two
Build failed for reason: gradle failed (install_repos.py:295) (rmtheis___tess-two)
